,y_obs,c_obs,i_obs,n_obs
2014-10-01,0.004711379548201222,0.004331070391685898,0.030084228539710267,0.010575475920783006
2015-01-01,0.007680788800001892,0.005669010160561427,0.05055617581706606,0.010550460984114274
2015-04-01,0.007865644847964148,0.006179692907318568,0.04142708039022658,0.008395049027035029
2015-07-01,0.0058885689718461975,0.006830508123165657,0.03116482517434882,0.004934330172879697
2015-10-01,0.0017872636741067538,0.004529469263436781,0.013366363551238436,0.007675130197672075
2016-01-01,0.0016533822032744894,0.0057139654654605465,-0.002168826029770088,0.005940505122169704
2016-04-01,-0.0010170300590246484,0.004363821940900792,-0.01715321254712343,0.00448821736484728
2016-07-01,0.00021391893635147596,0.005047934000955934,-0.02315341490437106,0.005625674497821365
2016-10-01,-5.431493522856101e-05,0.004002068856113539,-0.005917642662845779,0.003070381850139192
2017-01-01,-0.0009478961146864862,0.005537056210359381,-0.018079722058596204,0.003417609312550418
2017-04-01,-0.0010669094087170095,0.0044279228917716296,-0.011620716053897695,0.006889048341748527
2017-07-01,0.0011377117358701838,0.005194127898713319,-0.003934182066068104,0.00663456051020983
2017-10-01,0.006752428397394539,0.010139727461806913,0.006169003503330828,0.010681462939454711
2018-01-01,0.009321736582895923,0.011489318889422506,0.013017872365589156,0.014598053931912602
2018-04-01,0.009144508739263202,0.011009728039745426,0.00491728846617967,0.017891714291221383
2018-07-01,0.009944915020060563,0.009814594112130592,0.02718742713894251,0.020949278544705408
2018-10-01,0.005985478130527966,0.007139971656245692,0.020407508491405935,0.02305603847371085
2019-01-01,0.006858560333649066,0.0028954560501013304,0.021378245118775396,0.022524887745885458
